index,geometry
0,POINT (121024.1014033454 489034.8691190816)
1,POINT (121056.6458214363 489033.8399975587)
2,POINT (121049.6785293049 489038.9451535814)
3,POINT (121487.4244464178 488416.0846592236)
4,POINT (121268.9932105979 486690.4578861981)
5,POINT (123499.5079130178 487354.2280860604)
6,POINT (123501.5958273198 487352.4714250442)
7,POINT (120763.2905218994 488264.3304695096)
8,POINT (120822.6662944367 488279.6779010213)
9,POINT (120789.5366273126 488277.6479266342)
10,POINT (120786.5286905541 488276.3750390355)
11,POINT (120685.7316990039 488253.72171768)
12,POINT (120659.5750824324 488247.3440353174)
13,POINT (120589.0010196488 488231.1845266854)
14,POINT (120611.4491725941 488236.5421201159)
15,POINT (120537.3520444887 486927.5392542022)
16,POINT (120583.5128083495 486951.7649414968)
17,POINT (123478.6438260577 487032.9874078596)
18,POINT (123465.394181512 487020.2742822687)
19,POINT (123361.9311029575 486837.7071166966)
20,POINT (123348.8457677027 486848.0473165261)
21,POINT (123476.8485895122 487029.0654706486)
22,POINT (123480.7501166305 487032.7771374799)
23,POINT (123458.6864707 487012.233697484)
24,POINT (123336.2802119748 486880.3556824988)
25,POINT (122954.3162188472 486888.8098252673)
26,POINT (122972.926702571 486916.3807028221)
27,POINT (122183.5741860398 485949.8060626406)
28,POINT (122194.6264786745 485958.6680668781)
29,POINT (122194.9537595399 485959.8521060239)
30,POINT (121974.591019696 487338.2646746556)
31,POINT (122058.7516256006 487636.4281766494)
32,POINT (121977.7343235425 487342.8443698674)
33,POINT (121985.0316281202 487351.4576937042)
34,POINT (121982.2136159307 487341.0575419524)
35,POINT (121979.5095340743 487343.0255362919)
36,POINT (121975.4335264537 487344.6242408282)
37,POINT (122057.0342793568 487618.5531412683)
38,POINT (122055.0731063518 487615.2661722862)
39,POINT (121971.6058575021 487334.8177881307)
40,POINT (121978.5819154505 487349.1558496191)
41,POINT (121987.1455766019 487352.9634461539)
42,POINT (122058.2953536449 487606.2006268105)
43,POINT (122067.6188437047 487597.9373441074)
44,POINT (122064.3059403504 487621.156253477)
45,POINT (122056.8128558283 487601.5257767577)
46,POINT (122060.1024985253 487601.3303783662)
47,POINT (121976.5805099345 487330.7660343453)
48,POINT (122066.6574632532 487604.230987657)
49,POINT (122064.8610253051 487598.8822330502)
50,POINT (122065.9140694852 487595.891889795)
51,POINT (121988.3251054511 487349.305401501)
52,POINT (122005.688661002 487365.6487648702)
53,POINT (122000.638117171 487367.1449669569)
54,POINT (122058.9905209432 487621.7105267465)
55,POINT (121982.2813405123 487335.6280325492)
56,POINT (122064.9572821185 487599.3089357202)
57,POINT (121979.5611723075 487350.586975464)
58,POINT (121974.0147866593 487333.9067035942)
59,POINT (122001.2520876043 487359.9901873586)
60,POINT (121974.9812641438 487340.2823634361)
61,POINT (121993.0969004416 487354.4869948972)
