min_dist,tiny_forest_area,0
0.5,20.0,3411.0
0.5,30.0,2271.0
0.5,40.0,1696.0
0.5,50.0,1352.0
0.5,60.0,1111.0
0.5,70.0,949.0
0.5,80.0,828.0
0.5,90.0,714.0
0.5,100.0,637.0
0.5,110.0,577.0
0.5,120.0,530.0
0.5,130.0,487.0
0.5,140.0,435.0
0.5,150.0,411.0
0.5,160.0,381.0
0.5,170.0,355.0
0.5,180.0,334.0
0.5,190.0,314.0
0.5,200.0,289.0
0.5,210.0,278.0
0.5,220.0,264.0
0.5,230.0,248.0
0.5,240.0,236.0
0.5,250.0,228.0
0.5,260.0,215.0
0.5,270.0,200.0
0.5,280.0,196.0
0.5,290.0,184.0
0.5,300.0,176.0
0.5,310.0,173.0
0.5,320.0,160.0
0.5,330.0,154.0
0.5,340.0,152.0
0.5,350.0,145.0
0.5,360.0,134.0
0.5,370.0,131.0
0.5,380.0,131.0
0.5,390.0,129.0
1.0,20.0,3402.0
1.0,30.0,2262.0
1.0,40.0,1693.0
1.0,50.0,1347.0
1.0,60.0,1105.0
1.0,70.0,944.0
1.0,80.0,825.0
1.0,90.0,711.0
1.0,100.0,635.0
1.0,110.0,574.0
1.0,120.0,529.0
1.0,130.0,485.0
1.0,140.0,435.0
1.0,150.0,411.0
1.0,160.0,381.0
1.0,170.0,355.0
1.0,180.0,334.0
1.0,190.0,314.0
1.0,200.0,289.0
1.0,210.0,278.0
1.0,220.0,264.0
1.0,230.0,248.0
1.0,240.0,236.0
1.0,250.0,228.0
1.0,260.0,215.0
1.0,270.0,200.0
1.0,280.0,196.0
1.0,290.0,184.0
1.0,300.0,176.0
1.0,310.0,173.0
1.0,320.0,160.0
1.0,330.0,154.0
1.0,340.0,152.0
1.0,350.0,145.0
1.0,360.0,134.0
1.0,370.0,131.0
1.0,380.0,131.0
1.0,390.0,129.0
1.5,20.0,3378.0
1.5,30.0,2262.0
1.5,40.0,1692.0
1.5,50.0,1346.0
1.5,60.0,1103.0
1.5,70.0,943.0
1.5,80.0,823.0
1.5,90.0,709.0
1.5,100.0,634.0
1.5,110.0,574.0
1.5,120.0,528.0
1.5,130.0,484.0
1.5,140.0,435.0
1.5,150.0,411.0
1.5,160.0,381.0
1.5,170.0,355.0
1.5,180.0,333.0
1.5,190.0,313.0
1.5,200.0,289.0
1.5,210.0,278.0
1.5,220.0,262.0
1.5,230.0,248.0
1.5,240.0,236.0
1.5,250.0,228.0
1.5,260.0,215.0
1.5,270.0,200.0
1.5,280.0,196.0
1.5,290.0,184.0
1.5,300.0,176.0
1.5,310.0,173.0
1.5,320.0,160.0
1.5,330.0,154.0
1.5,340.0,152.0
1.5,350.0,145.0
1.5,360.0,134.0
1.5,370.0,131.0
1.5,380.0,131.0
1.5,390.0,129.0
1.83,20.0,3260.0
1.83,30.0,2248.0
1.83,40.0,1692.0
1.83,50.0,1345.0
1.83,60.0,1104.0
1.83,70.0,942.0
1.83,80.0,823.0
1.83,90.0,708.0
1.83,100.0,633.0
1.83,110.0,573.0
1.83,120.0,528.0
1.83,130.0,484.0
1.83,140.0,433.0
1.83,150.0,410.0
1.83,160.0,380.0
1.83,170.0,353.0
1.83,180.0,332.0
1.83,190.0,312.0
1.83,200.0,288.0
1.83,210.0,278.0
1.83,220.0,263.0
1.83,230.0,248.0
1.83,240.0,236.0
1.83,250.0,228.0
1.83,260.0,215.0
1.83,270.0,200.0
1.83,280.0,196.0
1.83,290.0,184.0
1.83,300.0,176.0
1.83,310.0,173.0
1.83,320.0,160.0
1.83,330.0,154.0
1.83,340.0,152.0
1.83,350.0,145.0
1.83,360.0,134.0
1.83,370.0,131.0
1.83,380.0,131.0
1.83,390.0,129.0
2.44,20.0,2860.0
2.44,30.0,2131.0
2.44,40.0,1659.0
2.44,50.0,1344.0
2.44,60.0,1103.0
2.44,70.0,941.0
2.44,80.0,822.0
2.44,90.0,708.0
2.44,100.0,632.0
2.44,110.0,573.0
2.44,120.0,526.0
2.44,130.0,483.0
2.44,140.0,433.0
2.44,150.0,409.0
2.44,160.0,379.0
2.44,170.0,353.0
2.44,180.0,332.0
2.44,190.0,312.0
2.44,200.0,287.0
2.44,210.0,276.0
2.44,220.0,262.0
2.44,230.0,248.0
2.44,240.0,236.0
2.44,250.0,228.0
2.44,260.0,215.0
2.44,270.0,200.0
2.44,280.0,196.0
2.44,290.0,184.0
2.44,300.0,176.0
2.44,310.0,173.0
2.44,320.0,160.0
2.44,330.0,154.0
2.44,340.0,152.0
2.44,350.0,145.0
2.44,360.0,134.0
2.44,370.0,131.0
2.44,380.0,131.0
2.44,390.0,129.0
4.5,20.0,2048.0
4.5,30.0,1551.0
4.5,40.0,1262.0
4.5,50.0,1070.0
4.5,60.0,942.0
4.5,70.0,841.0
4.5,80.0,775.0
4.5,90.0,675.0
4.5,100.0,609.0
4.5,110.0,555.0
4.5,120.0,519.0
4.5,130.0,483.0
4.5,140.0,431.0
4.5,150.0,409.0
4.5,160.0,379.0
4.5,170.0,353.0
4.5,180.0,332.0
4.5,190.0,312.0
4.5,200.0,287.0
4.5,210.0,276.0
4.5,220.0,262.0
4.5,230.0,248.0
4.5,240.0,236.0
4.5,250.0,228.0
4.5,260.0,215.0
4.5,270.0,200.0
4.5,280.0,196.0
4.5,290.0,184.0
4.5,300.0,176.0
4.5,310.0,173.0
4.5,320.0,160.0
4.5,330.0,154.0
4.5,340.0,152.0
4.5,350.0,145.0
4.5,360.0,134.0
4.5,370.0,131.0
4.5,380.0,131.0
4.5,390.0,129.0
